0 0 38447 
1 38447 36444 
2 74891 32325 
3 107216 30935 
4 138151 30718 
5 168869 30454 
6 199323 30051 
7 229374 28638 
8 258012 27027 
9 285039 26314 
10 311353 25945 
11 337298 25811 
12 363109 25799 
13 388908 24561 
14 413469 23603 
15 437072 23246 
16 460318 22925 
17 483243 22549 
18 505792 22098 
19 527890 21767 
20 549657 20494 
21 570151 20235 
22 590386 20153 
23 610539 20093 
24 630632 19884 
25 650516 19789 
26 670305 19812 
27 690117 19686 
28 709803 19511 
29 729314 19551 
30 748865 19463 
31 768328 19366 
32 787694 19278 
33 806972 19092 
34 826064 19034 
35 845098 18949 
36 864047 18595 
37 882642 18443 
38 901085 18380 
39 919465 18316 
40 937781 18049 
41 955830 17884 
42 973714 17838 
43 991552 17719 
44 1009271 17053 
45 1026324 16461 
46 1042785 16384 
47 1059169 16310 
48 1075479 16001 
49 1091480 15913 
50 1107393 15864 
51 1123257 15870 
52 1139127 15591 
53 1154718 15563 
54 1170281 15546 
55 1185827 15504 
56 1201331 15495 
57 1216826 15391 
58 1232217 15320 
59 1247537 15283 
60 1262820 15115 
61 1277935 15073 
62 1293008 14984 
63 1307992 14790 
64 1322782 14661 
65 1337443 14616 
66 1352059 14616 
67 1366675 14516 
68 1381191 14177 
69 1395368 14075 
70 1409443 13967 
71 1423410 13781 
72 1437191 13765 
73 1450956 13748 
74 1464704 13751 
75 1478455 13703 
76 1492158 13686 
77 1505844 13657 
78 1519501 13639 
79 1533140 13564 
80 1546704 13603 
81 1560307 13561 
82 1573868 13394 
83 1587262 13313 
84 1600575 13155 
85 1613730 13045 
86 1626775 12992 
87 1639767 12943 
88 1652710 12967 
89 1665677 12902 
90 1678579 12863 
91 1691442 12850 
92 1704292 12852 
93 1717144 12604 
94 1729748 12577 
95 1742325 12577 
96 1754902 12479 
97 1767381 12475 
98 1779856 12440 
99 1792296 12283 
100 1804579 12284 
101 1816863 12274 
102 1829137 12228 
103 1841365 12321 
104 1853686 12144 
105 1865830 11929 
106 1877759 11966 
107 1889725 11754 
108 1901479 11617 
109 1913096 11618 
110 1924714 11637 
111 1936351 11638 
112 1947989 11606 
113 1959595 11552 
114 1971147 11583 
115 1982730 11545 
116 1994275 11570 
117 2005845 11488 
118 2017333 11451 
119 2028784 11293 
120 2040077 11319 
121 2051396 11262 
122 2062658 11276 
123 2073934 11241 
124 2085175 11161 
125 2096336 11165 
126 2107501 11203 
127 2118704 11020 
128 2129724 11023 
129 2140747 10998 
130 2151745 10977 
131 2162722 10960 
132 2173682 10941 
133 2184623 10938 
134 2195561 10859 
135 2206420 10827 
